county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1094.0,2.7798746,8.98104,0.5644011,0.0,6.0576792,1.0,0.0,1.0,2.0,0.16964416,0.16964416,1.0,0.093362691,0.22017778
1095.0,2.2151736,7.046002,0.0,0.0,6.2262773,1.0,0.0,0.0,2.0,0.145121,0.11835988,0.0,0.0,0.022367234
1096.0,3.1296948,8.837729,0.5117547,0.0,6.2127061,1.0,1.0,1.0,4.0,0.024051039,0.024051039,0.0,0.023105546,0.07791759
1097.0,2.4157352,7.840207,0.0,0.0,5.9770314,1.0,0.0,0.0,3.0,0.13950381,0.13950381,0.0,0.12153013,0.27861908
1098.0,2.4966705,7.884598,0.1994126,0.0,5.8748819,1.0,0.0,0.0,4.0,0.074009269,0.074009269,0.0,0.068836753,0.21324238
1099.0,1.9878743,6.85721,0.0599385,0.0,6.2417109,1.0,0.0,0.0,0.0,0.14729325,0.099245042,0.0,0.0,0.022932392
1100.0,2.8056003,8.143949,0.3429047,0.0,5.8858145,1.0,0.0,1.0,2.0,0.051762082,0.051762082,1.0,0.050285175,0.078507559
1102.0,2.3813963,7.851776,0.0,0.0,6.2358982,1.0,0.0,0.0,2.0,0.070754702,0.070754702,0.0,0.0,0.0
1103.0,2.9323664,8.09691,0.3130051,0.0,6.2623419,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.10487755,0.069904054
1104.0,2.6053528,8.123649,0.2098442,0.0,5.9203965,1.0,0.0,0.0,3.0,0.078741097,0.078741097,0.0,0.088401918,0.16630321
1105.0,3.5722895,8.481438,0.3798968,0.0,6.3321504,1.0,1.0,1.0,5.0,0.022201145,0.022201145,0.0,0.037975567,0.22157884
1106.0,1.9859547,7.696956,0.0,0.0,6.4003068,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.048447445,0.050620097
1107.0,3.1054383,8.156714,0.5867373,0.0,6.2863896,1.0,1.0,0.0,2.0,0.065233781,0.065233781,0.0,0.0,0.0
1108.0,4.0532621,8.009163,0.5090297,0.0,6.067587,1.0,0.0,1.0,11.0,0.046405466,0.077394308,1.0,0.0,0.15240646
1109.0,3.1698536,7.860715,0.3222877,0.0,5.9954239,1.0,0.0,1.0,7.0,0.047357267,0.067668862,1.0,0.0,0.16429234
1110.0,4.2479379,8.5462,0.7494356,0.0,6.1450102,1.0,1.0,1.0,4.0,0.061980675,0.11259029,0.0,0.065752336,0.13434387
1111.0,3.128382,7.625483,0.5458355,0.0,6.1783687,1.0,0.0,0.0,5.0,0.089912866,0.11338417,0.0,0.094200641,0.18781506
1112.0,3.7053432,8.085855,0.3744124,0.0,5.9576758,1.0,0.0,1.0,11.0,0.030541621,0.061137197,1.0,0.020934096,0.13274259
1113.0,3.4605035,8.378538,0.2962166,0.0,5.9833056,1.0,0.0,1.0,5.0,0.033953083,0.054261293,1.0,0.0,0.11188982
1114.0,2.7630433,7.720046,0.1959751,0.0,5.6502175,1.0,0.0,0.0,3.0,0.025420989,0.025420989,0.0,0.0,0.20585621
1118.0,2.3359232,7.977733,0.0,0.0,5.7634259,1.0,0.0,0.0,2.0,0.036882421,0.036882421,0.0,0.0,0.19176954
1119.0,2.1902,7.615101,0.0,0.0,6.1162122,1.0,0.0,0.0,2.0,0.035734297,0.0575492,0.0,0.0,0.026916128
1120.0,2.4009814,8.163378,0.0,0.0,5.8621141,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.031386745,0.18916289
1121.0,2.8336838,7.755289,0.2185627,0.0,5.5374784,1.0,0.0,1.0,2.0,0.027313737,0.027313737,1.0,0.062154667,0.20153688
1122.0,3.0285382,8.242708,0.6162888,0.0,5.9150602,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.058085288,0.1376005
1123.0,3.2207141,7.970297,0.2654742,0.0,5.6947252,1.0,0.0,1.0,4.0,0.050173915,0.050173915,1.0,0.0,0.11248672
1125.0,2.1910947,7.963552,0.6351767,0.0,5.7135628,1.0,0.0,0.0,2.0,0.02401792,0.02401792,0.0,0.049777697,0.20469919
1126.0,3.034953,7.205652,0.1657303,0.0,6.0453749,1.0,0.0,0.0,4.0,0.071031499,0.10053903,0.0,0.04319788,0.14955219
1127.0,3.5288281,7.879021,0.4055145,0.0,5.996479,1.0,0.0,1.0,5.0,0.054250211,0.092659112,1.0,0.0,0.14753
